,STG,SCG,STR,LPR,PEG,聚类类别
0,0.0,0.0,0.0,0.0,0.0,3
1,0.08,0.08,0.1,0.24,0.9,0
2,0.06,0.06,0.05,0.25,0.33,3
3,0.1,0.1,0.15,0.65,0.3,3
4,0.08,0.08,0.08,0.98,0.24,2
5,0.09,0.15,0.4,0.1,0.66,1
6,0.1,0.1,0.43,0.29,0.56,1
7,0.15,0.02,0.34,0.4,0.01,3
8,0.2,0.14,0.35,0.72,0.25,2
9,0.0,0.0,0.5,0.2,0.85,0
10,0.18,0.18,0.55,0.3,0.81,0
11,0.06,0.06,0.51,0.41,0.3,3
12,0.1,0.1,0.52,0.78,0.34,2
13,0.1,0.1,0.7,0.15,0.9,0
14,0.2,0.2,0.7,0.3,0.6,1
15,0.12,0.12,0.75,0.35,0.8,0
16,0.05,0.07,0.7,0.01,0.05,3
17,0.1,0.25,0.1,0.08,0.33,3
18,0.15,0.32,0.05,0.27,0.29,3
19,0.2,0.29,0.25,0.49,0.56,3
20,0.12,0.28,0.2,0.78,0.2,2
21,0.18,0.3,0.37,0.12,0.66,1
22,0.1,0.27,0.31,0.29,0.65,1
23,0.18,0.31,0.32,0.42,0.28,3
24,0.06,0.29,0.35,0.76,0.25,2
25,0.09,0.3,0.68,0.18,0.85,0
26,0.04,0.28,0.55,0.25,0.1,3
27,0.09,0.255,0.6,0.45,0.25,3
28,0.08,0.325,0.62,0.94,0.56,2
29,0.15,0.275,0.8,0.21,0.81,0
30,0.12,0.245,0.75,0.31,0.59,1
31,0.15,0.295,0.75,0.65,0.24,2
32,0.1,0.256,0.7,0.76,0.16,2
33,0.18,0.32,0.04,0.19,0.82,0
34,0.2,0.45,0.28,0.31,0.78,0
35,0.06,0.35,0.12,0.43,0.29,3
36,0.1,0.42,0.22,0.72,0.26,3
37,0.18,0.4,0.32,0.08,0.33,3
38,0.09,0.33,0.31,0.26,0.0,3
39,0.19,0.38,0.38,0.49,0.45,3
40,0.02,0.33,0.36,0.76,0.1,2
41,0.2,0.49,0.6,0.2,0.78,0
42,0.14,0.49,0.55,0.29,0.6,1
43,0.18,0.33,0.61,0.64,0.25,3
44,0.115,0.35,0.65,0.27,0.04,3
45,0.17,0.36,0.8,0.14,0.66,1
46,0.1,0.39,0.75,0.31,0.62,1
47,0.13,0.39,0.85,0.38,0.77,0
48,0.18,0.34,0.71,0.71,0.9,0
49,0.09,0.51,0.02,0.18,0.67,1
50,0.06,0.5,0.09,0.28,0.25,3
51,0.23,0.7,0.19,0.51,0.45,3
52,0.09,0.55,0.12,0.78,0.05,2
53,0.24,0.75,0.32,0.18,0.86,0
54,0.18,0.72,0.37,0.29,0.55,1
55,0.1,0.6,0.33,0.42,0.26,3
56,0.2,0.52,0.36,0.84,0.25,2
57,0.09,0.6,0.66,0.19,0.59,1
58,0.18,0.51,0.58,0.33,0.82,0
59,0.08,0.58,0.6,0.64,0.1,2
60,0.09,0.61,0.53,0.75,0.01,2
